	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ower	Noun	tr	person who owes money	fin	velallinen
eng	owe	Verb	tr	to be in debt	rus	быть в долгу́	impf
eng	owe	Verb	tr	to be in debt	rus	быть до́лжным	impf
eng	owe	Verb	tr	to be in debt	rus	до́лжен	m
eng	owe	Verb	tr	to be in debt	rus	должна́	f
eng	owe	Verb	tr	to be in debt	rus	должны́	p
eng	owe	Verb	tr	to be in debt	rus	задолжа́ть	pf
eng	owe	Verb	tr	to be in debt	slv	dolgovati
eng	owe	Verb	tr	to be in debt	spa	adeudar
eng	owe	Verb	tr	to be in debt	spa	deber
eng	owe	Verb	tr	to be in debt	spa	estar en deuda
eng	owe	Verb	tr	to be in debt	swe	vara skyldig
eng	owe	Verb	tr	to be in debt	tur	borçlu olmak
eng	owe	Verb	tr	to be in debt	yue	欠	tr=him3
eng	owe	Verb	tr	to be under an obligation	ang	sċulan
eng	owe	Verb	tr	to be under an obligation	bel	быць паві́нен	impf
eng	owe	Verb	tr	to be under an obligation	bel	быць у абавя́зку	impf
eng	owe	Verb	tr	to be under an obligation	bel	му́сіць	impf
eng	owe	Verb	tr	to be under an obligation	bul	задължен съм
eng	owe	Verb	tr	to be under an obligation	cat	deure
eng	owe	Verb	tr	to be under an obligation	deu	schulden
eng	owe	Verb	tr	to be under an obligation	deu	schuldig sein
eng	owe	Verb	tr	to be under an obligation	ell	χρωστάω
eng	owe	Verb	tr	to be under an obligation	ell	χρωστώ
eng	owe	Verb	tr	to be under an obligation	epo	ŝuldi
eng	owe	Verb	tr	to be under an obligation	fas	بدهکار بودن	tr=bedehkâr budan
eng	owe	Verb	tr	to be under an obligation	fas	مدیون بودن	tr=madyun budan
eng	owe	Verb	tr	to be under an obligation	fin	olla velkaa
eng	owe	Verb	tr	to be under an obligation	fra	devoir
eng	owe	Verb	tr	to be under an obligation	gle	bí ar
eng	owe	Verb	tr	to be under an obligation	glg	deber
eng	owe	Verb	tr	to be under an obligation	got	𐍃𐌺𐌿𐌻𐌰𐌽
eng	owe	Verb	tr	to be under an obligation	heb	היה חייב	tr=hayá khayáv
eng	owe	Verb	tr	to be under an obligation	heb	חב	tr=khav
eng	owe	Verb	tr	to be under an obligation	ido	debar
eng	owe	Verb	tr	to be under an obligation	ita	dovere
eng	owe	Verb	tr	to be under an obligation	lat	dēbeō
eng	owe	Verb	tr	to be under an obligation	nld	schuldig zijn
eng	owe	Verb	tr	to be under an obligation	oci	dever
eng	owe	Verb	tr	to be under an obligation	pol	być zobowiązany	impf
eng	owe	Verb	tr	to be under an obligation	pol	zawdzięczać	impf
eng	owe	Verb	tr	to be under an obligation	por	dever
eng	owe	Verb	tr	to be under an obligation	ron	datora
eng	owe	Verb	tr	to be under an obligation	rus	быть в долгу́	impf
eng	owe	Verb	tr	to be under an obligation	rus	быть до́лжным	impf
eng	owe	Verb	tr	to be under an obligation	rus	быть обя́занным	impf
eng	owe	Verb	tr	to be under an obligation	slv	dolgovati
eng	owe	Verb	tr	to be under an obligation	spa	adeudar
eng	owe	Verb	tr	to be under an obligation	spa	deber
eng	owe	Verb	tr	to be under an obligation	swe	vara skyldig
eng	owe	Verb	tr	to be under an obligation	ukr	бу́ти ви́нним	impf
eng	owe	Verb	tr	to be under an obligation	ukr	ви́нен	m
eng	owe	Verb	tr	to be under an obligation	ukr	ви́нна	f
eng	owe	Verb	tr	to be under an obligation	ukr	ви́нні	m-p	f-p
eng	owe	Verb	tr	to be under an obligation	ukr	му́сити	impf
eng	owe	Verb	tr	to be under an obligation	ukr	пови́нний
eng	owe	Verb	tr	to be under an obligation	zza	deyndarey	f
eng	owie	Noun	tr	minor injury	fin	pipi
eng	owie	Noun	tr	minor injury	fra	bobo	m
eng	owie	Noun	tr	minor injury	por	dodói
eng	owie	Noun	tr	minor injury	spa	ayayay
eng	owie	Noun	tr	minor injury	spa	coco
eng	owie	Noun	tr	same as ow	rus	о́юшки
eng	owing	Adjective	tr	still to be paid	bul	дължим
eng	owing	Adjective	tr	still to be paid	heb	חיב	m	tr=khayav
eng	owing	Adjective	tr	still to be paid	por	devendo
eng	owing	Adjective	tr	still to be paid	rus	обязанный
eng	owing	Adjective	tr	still to be paid	rus	причитающийся
eng	owing	Adjective	tr	still to be paid	tur	borçlu
eng	owing	Adjective	tr	still to be paid	tur	nedeniyle
eng	owing to	Preposition	tr	because of	ara	بِسَبَبّ
eng	owing to	Preposition	tr	because of	arz	بسبب	tr=besababb	sc=Arab
eng	owing to	Preposition	tr	because of	aze	ucbatından
eng	owing to	Preposition	tr	because of	bul	вследствие на
eng	owing to	Preposition	tr	because of	cmn	由于	sc=Hani
eng	owing to	Preposition	tr	because of	dan	grundet
eng	owing to	Preposition	tr	because of	est	pärast
eng	owing to	Preposition	tr	because of	est	tänu
eng	owing to	Preposition	tr	because of	est	tõttu
eng	owing to	Preposition	tr	because of	fin	ansiosta
eng	owing to	Preposition	tr	because of	fin	johdosta
eng	owing to	Preposition	tr	because of	fin	takia
eng	owing to	Preposition	tr	because of	fin	vuoksi
eng	owing to	Preposition	tr	because of	fra	en raison de
eng	owing to	Preposition	tr	because of	kmr	ji ber
eng	owing to	Preposition	tr	because of	lao	ເນື່ອງຈາກ
eng	owing to	Preposition	tr	because of	nno	på grunn av
eng	owing to	Preposition	tr	because of	nob	på grunn av
eng	owing to	Preposition	tr	because of	pol	dzięki
eng	owing to	Preposition	tr	because of	pol	wskutek
eng	owing to	Preposition	tr	because of	pol	ze względu na
eng	owing to	Preposition	tr	because of	por	devido a
eng	owing to	Preposition	tr	because of	spa	por mor de
eng	owing to	Preposition	tr	because of	swe	på grund av
eng	owlery	Noun	tr	an abode or a haunt of owls	hun	bagolyfészek
eng	owlery	Noun	tr	an abode or a haunt of owls	hun	bagolyodú
eng	owlery	Noun	tr	an abode or a haunt of owls	hun	bagolytanya
eng	owlet moth	Noun	tr	moth of family Noctuidae	ces	můra	f
eng	owlet moth	Noun	tr	moth of family Noctuidae	cmn	夜蛾	tr=yè'é	sc=Hani
eng	owlet moth	Noun	tr	moth of family Noctuidae	deu	Eule	f
eng	owlet moth	Noun	tr	moth of family Noctuidae	fin	yökkönen
eng	owlet moth	Noun	tr	moth of family Noctuidae	fra	noctuelle	f
eng	owlet moth	Noun	tr	moth of family Noctuidae	hun	bagolylepke
eng	owlet moth	Noun	tr	moth of family Noctuidae	jpn	夜蛾	tr=やが, yaga
eng	owlet moth	Noun	tr	moth of family Noctuidae	swe	nattfly	n
eng	owlet	Noun	tr	a young owl	deu	Eulenjunges	n
eng	owlet	Noun	tr	a young owl	deu	junge Eule	f
eng	owlet	Noun	tr	a young owl	fra	jeune chouette	f
eng	owlet	Noun	tr	a young owl	fra	jeune hibou	m
eng	owlet	Noun	tr	a young owl	kat	ბუს ბახალა	sc=Geor
eng	owlet	Noun	tr	a young owl	nld	uilskuiken	n
eng	owlet	Noun	tr	a young owl	rus	совёнок	m
eng	owlet	Noun	tr	a young owl	slk	sôvä	n
eng	owlet	Noun	tr	a young owl	swe	uggleunge	c
eng	owlet	Noun	tr	a young owl	vol	hilülül
eng	owlet	Noun	tr	a young owl	vol	jilülül
eng	owlet	Noun	tr	a young owl	vol	lülül
eng	owlish	Adjective	tr	resembling or characteristic of an owl	deu	eulenhaft
eng	owlish	Adjective	tr	resembling or characteristic of an owl	glv	hulladagh
eng	owlish	Adjective	tr	resembling or characteristic of an owl	por	corujento
eng	owl	Noun	tr	bird	ace	jampôk
eng	owl	Noun	tr	bird	ady	кукумау
eng	owl	Noun	tr	bird	ain	チカㇷ゚	tr=cikap
eng	owl	Noun	tr	bird	amh	ጉጉት
eng	owl	Noun	tr	bird	ang	ūle	f
eng	owl	Noun	tr	bird	apc	بومة	f	tr=boumé	sc=Arab
eng	owl	Noun	tr	bird	apw	múh
eng	owl	Noun	tr	bird	ara	بُومَة	f
eng	owl	Noun	tr	bird	arg	baueso	m
eng	owl	Noun	tr	bird	arg	bobón	m
eng	owl	Noun	tr	bird	arg	craberet	m
eng	owl	Noun	tr	bird	arz	بوم	m	tr=būm
eng	owl	Noun	tr	bird	arz	بومة	f	tr=būma
eng	owl	Noun	tr	bird	asm	ফেঁচা	sc=Beng
eng	owl	Noun	tr	bird	ast	curuxa	f
eng	owl	Noun	tr	bird	aym	juku
eng	owl	Noun	tr	bird	aze	bayquş
eng	owl	Noun	tr	bird	bak	ябалаҡ	sc=Cyrl
eng	owl	Noun	tr	bird	bdr	puok
eng	owl	Noun	tr	bird	bel	сава́	f
eng	owl	Noun	tr	bird	ben	উলূক	sc=Beng
eng	owl	Noun	tr	bird	ben	পেচক	sc=Beng
eng	owl	Noun	tr	bird	ben	পেঁচা	sc=Beng
eng	owl	Noun	tr	bird	bho	कुचकुचवा
eng	owl	Noun	tr	bird	bjn	kukulai
eng	owl	Noun	tr	bird	bod	འུག་པ།	sc=Tibt
eng	owl	Noun	tr	bird	bor	tagogo
eng	owl	Noun	tr	bird	bre	kaouenn	f
eng	owl	Noun	tr	bird	bre	toud	m
eng	owl	Noun	tr	bird	bul	птица от разред сови
eng	owl	Noun	tr	bird	cat	mussol	m
eng	owl	Noun	tr	bird	cat	òliba	f
eng	owl	Noun	tr	bird	ccc	ma'sheti
eng	owl	Noun	tr	bird	cdo	猫王鸟	tr=mà-uòng-cēu
eng	owl	Noun	tr	bird	cdo	貓王鳥
eng	owl	Noun	tr	bird	ceb	mingok
eng	owl	Noun	tr	bird	ceb	ngiwngiw
eng	owl	Noun	tr	bird	ces	sova	f
eng	owl	Noun	tr	bird	che	бухІа
eng	owl	Noun	tr	bird	chm	тумна
eng	owl	Noun	tr	bird	chr	ᎤᎫᎫ	sc=Cher
eng	owl	Noun	tr	bird	chv	тӑмана	sc=Cyrl
eng	owl	Noun	tr	bird	chy	vé'kėséhemėstaa'e
eng	owl	Noun	tr	bird	cic	oopa
eng	owl	Noun	tr	bird	ckb	کوند
eng	owl	Noun	tr	bird	ckt	тыӄыԓ	tr=tyqyḷ
eng	owl	Noun	tr	bird	cmn	夜猫子	tr=yèmāozi
eng	owl	Noun	tr	bird	cmn	夜貓子
eng	owl	Noun	tr	bird	cmn	梟鳥
eng	owl	Noun	tr	bird	cmn	梟鸟	tr=xiāoniǎo
eng	owl	Noun	tr	bird	cmn	猫头鹰	tr=māotóuyīng
eng	owl	Noun	tr	bird	cmn	角鴟
eng	owl	Noun	tr	bird	cmn	角鸱	tr=jiǎochī
eng	owl	Noun	tr	bird	cmn	貓頭鷹
eng	owl	Noun	tr	bird	cmn	鴞
eng	owl	Noun	tr	bird	cmn	鴟鴞
eng	owl	Noun	tr	bird	cmn	鴟鵂
eng	owl	Noun	tr	bird	cmn	鵂鶹
eng	owl	Noun	tr	bird	cmn	鸮	tr=xiāo
eng	owl	Noun	tr	bird	cmn	鸱鸮	tr=chīxiāo
eng	owl	Noun	tr	bird	cmn	鸱鸺	tr=chīxiū
eng	owl	Noun	tr	bird	cmn	鸺鹠	tr=xiūliú
eng	owl	Noun	tr	bird	com	mupitsʉ
eng	owl	Noun	tr	bird	cor	cowan	f
eng	owl	Noun	tr	bird	cos	ciocciu	m
eng	owl	Noun	tr	bird	crh	kökökmiyav
eng	owl	Noun	tr	bird	crh	muratquş
eng	owl	Noun	tr	bird	csm	huh·umi-
eng	owl	Noun	tr	bird	cym	gwdihŵaid	f-p
eng	owl	Noun	tr	bird	cym	gwdihŵ	f
eng	owl	Noun	tr	bird	cym	tylluan	f
eng	owl	Noun	tr	bird	dan	ugle	c
eng	owl	Noun	tr	bird	deu	Eule	f
eng	owl	Noun	tr	bird	deu	Eulenvogel	m
eng	owl	Noun	tr	bird	deu	Uhu	m
eng	owl	Noun	tr	bird	dlm	civet	m
eng	owl	Noun	tr	bird	dsb	sowa	f
eng	owl	Noun	tr	bird	ell	κουκουβάγια	f
eng	owl	Noun	tr	bird	epo	strigo
eng	owl	Noun	tr	bird	est	kakk
eng	owl	Noun	tr	bird	est	öökull
eng	owl	Noun	tr	bird	eus	gauhontz
eng	owl	Noun	tr	bird	eus	hontz
eng	owl	Noun	tr	bird	eus	hontza
eng	owl	Noun	tr	bird	eus	mozo
eng	owl	Noun	tr	bird	evn	itiknija
eng	owl	Noun	tr	bird	fao	ugla
eng	owl	Noun	tr	bird	fao	ugli	m
eng	owl	Noun	tr	bird	fao	úla	f
eng	owl	Noun	tr	bird	fas	بوف	tr=buf
eng	owl	Noun	tr	bird	fas	جغد	tr=joğd
eng	owl	Noun	tr	bird	fij	lulu
eng	owl	Noun	tr	bird	fin	pöllö
eng	owl	Noun	tr	bird	fin	pöllölintu
eng	owl	Noun	tr	bird	fra	chouette	f
eng	owl	Noun	tr	bird	fra	hibou	m
eng	owl	Noun	tr	bird	fry	ûle
eng	owl	Noun	tr	bird	fur	çus
eng	owl	Noun	tr	bird	gla	cailleach-oidhche	f
eng	owl	Noun	tr	bird	gla	comhachag	f
eng	owl	Noun	tr	bird	gld	oqsarä
eng	owl	Noun	tr	bird	gle	cailleach oíche	f
eng	owl	Noun	tr	bird	gle	ulchabhán	m
eng	owl	Noun	tr	bird	glg	moucho	m
eng	owl	Noun	tr	bird	glv	hullad	f
eng	owl	Noun	tr	bird	goh	ūwila	f
eng	owl	Noun	tr	bird	grc	γλαῦξ	f
eng	owl	Noun	tr	bird	grn	ñakurutû
eng	owl	Noun	tr	bird	grn	urukure'a
eng	owl	Noun	tr	bird	hak	猫头鸟	tr=meu-thèu-tiâu
eng	owl	Noun	tr	bird	hak	貓頭鳥
eng	owl	Noun	tr	bird	hat	koukou
eng	owl	Noun	tr	bird	hau	mujiya
eng	owl	Noun	tr	bird	haw	pueo
eng	owl	Noun	tr	bird	hbs	buljina	f
eng	owl	Noun	tr	bird	hbs	jeja	f
eng	owl	Noun	tr	bird	hbs	jejina	f
eng	owl	Noun	tr	bird	hbs	sova	f
eng	owl	Noun	tr	bird	hbs	буљина	f
eng	owl	Noun	tr	bird	hbs	јеја	f
eng	owl	Noun	tr	bird	hbs	јејина	f
eng	owl	Noun	tr	bird	hbs	сова	f	sc=Cyrl
eng	owl	Noun	tr	bird	heb	אוח	tr=oakh
eng	owl	Noun	tr	bird	heb	ינשוף	tr=yanshuf
eng	owl	Noun	tr	bird	heb	לילית	tr=lilith
eng	owl	Noun	tr	bird	heb	תנשמת	tr=tinshemeth
eng	owl	Noun	tr	bird	hil	búkaw
eng	owl	Noun	tr	bird	hin	उलूक	m
eng	owl	Noun	tr	bird	hin	उल्लू	m
eng	owl	Noun	tr	bird	hin	कुचकुचवा	m
eng	owl	Noun	tr	bird	hin	खुसट	m
eng	owl	Noun	tr	bird	hin	घुग्घू	m
eng	owl	Noun	tr	bird	hin	घुघ्घू	m
eng	owl	Noun	tr	bird	hin	घूक	m
eng	owl	Noun	tr	bird	hin	घूघू	m
eng	owl	Noun	tr	bird	hin	पेचक	m
eng	owl	Noun	tr	bird	hop	hotsko
eng	owl	Noun	tr	bird	hsb	sowa	f
eng	owl	Noun	tr	bird	hun	bagoly
eng	owl	Noun	tr	bird	hye	բու
eng	owl	Noun	tr	bird	ibg	lappang
eng	owl	Noun	tr	bird	ido	strigo
eng	owl	Noun	tr	bird	ilo	kullaaw
eng	owl	Noun	tr	bird	ilo	puek
eng	owl	Noun	tr	bird	ina	uluco
eng	owl	Noun	tr	bird	ind	burung hantu
eng	owl	Noun	tr	bird	isl	ugla	f
eng	owl	Noun	tr	bird	ita	civetta	f
eng	owl	Noun	tr	bird	ita	gufo	m
eng	owl	Noun	tr	bird	ivv	bantuluk
eng	owl	Noun	tr	bird	jav	darès
eng	owl	Noun	tr	bird	jav	ꦢꦫꦺꦱ꧀
eng	owl	Noun	tr	bird	jpn	フクロウ	tr=fukurō	sc=Jpan
eng	owl	Noun	tr	bird	jpn	梟	tr=ふくろう, fukurō	sc=Jpan
eng	owl	Noun	tr	bird	kal	uppik
eng	owl	Noun	tr	bird	kan	ಗೂಬೆ	sc=Knda
eng	owl	Noun	tr	bird	kan	ಘೂಕ
eng	owl	Noun	tr	bird	kat	ბუ
eng	owl	Noun	tr	bird	kaz	жапалақ	sc=Cyrl
eng	owl	Noun	tr	bird	khm	ទីទុយ	tr=tiituy	sc=Khmr
eng	owl	Noun	tr	bird	khm	មៀម	tr=miəm	sc=Khmr
eng	owl	Noun	tr	bird	kir	үкү	sc=Cyrl
eng	owl	Noun	tr	bird	kmr	bu
eng	owl	Noun	tr	bird	kmr	kund
eng	owl	Noun	tr	bird	kmr	pepûk
eng	owl	Noun	tr	bird	kmr	pû
eng	owl	Noun	tr	bird	koi	сюзь
eng	owl	Noun	tr	bird	kon	dikuti
eng	owl	Noun	tr	bird	kor	올빼미
eng	owl	Noun	tr	bird	kor	부엉이
eng	owl	Noun	tr	bird	kqr	puwok
eng	owl	Noun	tr	bird	kum	обуркъуш
eng	owl	Noun	tr	bird	kum	обуръябалакъ
eng	owl	Noun	tr	bird	kxd	burung antu
eng	owl	Noun	tr	bird	lao	ເຄົ້າ
eng	owl	Noun	tr	bird	lat	būbō	m
eng	owl	Noun	tr	bird	lat	noctua	f
eng	owl	Noun	tr	bird	lat	parra	f
eng	owl	Noun	tr	bird	lat	strix	f
eng	owl	Noun	tr	bird	lat	ulula	f
eng	owl	Noun	tr	bird	lav	apogs
eng	owl	Noun	tr	bird	lav	pūce
eng	owl	Noun	tr	bird	lav	ūpis	m
eng	owl	Noun	tr	bird	lbk	koop
eng	owl	Noun	tr	bird	lim	uul	m
eng	owl	Noun	tr	bird	lin	esulúngútu
eng	owl	Noun	tr	bird	lit	apuokas	m
eng	owl	Noun	tr	bird	lit	pelėda	f
eng	owl	Noun	tr	bird	liv	būs
eng	owl	Noun	tr	bird	lld	ciuita
eng	owl	Noun	tr	bird	lnd	fuek
eng	owl	Noun	tr	bird	ltg	opūgs	m
eng	owl	Noun	tr	bird	ltg	palāda
eng	owl	Noun	tr	bird	ltz	Échel	f
eng	owl	Noun	tr	bird	ltz	Eil	f
eng	owl	Noun	tr	bird	mal	മൂങ്ങ	sc=Mlym
eng	owl	Noun	tr	bird	mar	घुबड	n	sc=Deva
eng	owl	Noun	tr	bird	mdf	корож
eng	owl	Noun	tr	bird	mic	gu'gu'gwes	an
eng	owl	Noun	tr	bird	mkd	був
eng	owl	Noun	tr	bird	mkd	ут	m
eng	owl	Noun	tr	bird	mkd	утка	f
eng	owl	Noun	tr	bird	mlg	vorombozaka
eng	owl	Noun	tr	bird	mlg	vorondolo
eng	owl	Noun	tr	bird	mlt	kokka	f
eng	owl	Noun	tr	bird	moe	uhu
eng	owl	Noun	tr	bird	mon	ууль	sc=Cyrl
eng	owl	Noun	tr	bird	mon	шар шувуу	sc=Cyrl
eng	owl	Noun	tr	bird	mrc	mmdii
eng	owl	Noun	tr	bird	mrj	тымана
eng	owl	Noun	tr	bird	msa	burung hantu
eng	owl	Noun	tr	bird	msa	burung suangi
eng	owl	Noun	tr	bird	msa	kokok beluk
eng	owl	Noun	tr	bird	mvv	puvok
eng	owl	Noun	tr	bird	mwl	queruja	f
eng	owl	Noun	tr	bird	mzn	پیت کتله	tr=pitketele	sc=ps-Arab
eng	owl	Noun	tr	bird	mzn	کوربی	tr=kurebi	sc=ps-Arab
eng	owl	Noun	tr	bird	nan	公黃
eng	owl	Noun	tr	bird	nan	公黄	tr=kong-hûiⁿ
eng	owl	Noun	tr	bird	nan	姑嫂鳥
eng	owl	Noun	tr	bird	nan	姑嫂鸟	tr=ko͘-só-chiáu
eng	owl	Noun	tr	bird	nan	暗光鳥
eng	owl	Noun	tr	bird	nan	暗光鸟	tr=àm-kong-chiáu
eng	owl	Noun	tr	bird	nan	暗晏鳥
eng	owl	Noun	tr	bird	nan	暗晏鸟	tr=àm-òaⁿ-chiáu
eng	owl	Noun	tr	bird	nan	猫头姑	tr=niau-thâu-ko͘
eng	owl	Noun	tr	bird	nan	猫头鸟	tr=niau-thâu-chiáu
eng	owl	Noun	tr	bird	nan	猫头鹰	tr=niau-thâu-eng
eng	owl	Noun	tr	bird	nan	貓頭姑
eng	owl	Noun	tr	bird	nan	貓頭鳥
eng	owl	Noun	tr	bird	nan	貓頭鷹
eng	owl	Noun	tr	bird	nan	鴟鴞
eng	owl	Noun	tr	bird	nan	鴣黃
eng	owl	Noun	tr	bird	nan	鵂鶹
eng	owl	Noun	tr	bird	nan	鷦鶹
eng	owl	Noun	tr	bird	nan	鸪黄	tr=ko͘-n̂g, ko͘-ûiⁿ
eng	owl	Noun	tr	bird	nan	鸱鸮	tr=chhi-hiau
eng	owl	Noun	tr	bird	nan	鸺鹠	tr=hiu-liû
eng	owl	Noun	tr	bird	nan	鹪鹠	tr=chiau-liû
eng	owl	Noun	tr	bird	nav	néʼéshjaaʼ
eng	owl	Noun	tr	bird	nds-de	Uul	f
eng	owl	Noun	tr	bird	nds-nl	uul	f
eng	owl	Noun	tr	bird	nep	उलूक
eng	owl	Noun	tr	bird	nep	उल्लु
eng	owl	Noun	tr	bird	nep	उल्लू
eng	owl	Noun	tr	bird	nep	लाटोकोसेरो	sc=Deva
eng	owl	Noun	tr	bird	nld	uil	m
eng	owl	Noun	tr	bird	nno	ugle	f
eng	owl	Noun	tr	bird	nnt	quoo-waant
eng	owl	Noun	tr	bird	nob	ugle	m	f
eng	owl	Noun	tr	bird	non	ugla
eng	owl	Noun	tr	bird	nrf	cahouain	m
eng	owl	Noun	tr	bird	nso	leribiši
eng	owl	Noun	tr	bird	oci	chòta	f
eng	owl	Noun	tr	bird	oji	gookooko'oo
eng	owl	Noun	tr	bird	ood	cukut
eng	owl	Noun	tr	bird	ori	ପେଚା	sc=Orya
eng	owl	Noun	tr	bird	orm	uruungguu
eng	owl	Noun	tr	bird	oss	сидахъ
eng	owl	Noun	tr	bird	oss	уыг
eng	owl	Noun	tr	bird	ovd	ugel	f
eng	owl	Noun	tr	bird	pag	kolayot
eng	owl	Noun	tr	bird	pam	kulayu
eng	owl	Noun	tr	bird	pcc	rogjaucmyaus
eng	owl	Noun	tr	bird	pcc	rogyahheh
eng	owl	Noun	tr	bird	pdt	Ul	f
eng	owl	Noun	tr	bird	pol	sowa	f
eng	owl	Noun	tr	bird	por	coruja	f
eng	owl	Noun	tr	bird	por	estrige	f
eng	owl	Noun	tr	bird	pro	cavec	m
eng	owl	Noun	tr	bird	pus	کونګ	tr=kong	sc=ps-Arab
eng	owl	Noun	tr	bird	que	ch'usiqa
eng	owl	Noun	tr	bird	que	huku
eng	owl	Noun	tr	bird	que	juku
eng	owl	Noun	tr	bird	que	paqpaka
eng	owl	Noun	tr	bird	que	tuku
eng	owl	Noun	tr	bird	rhg	feñsa
eng	owl	Noun	tr	bird	roh	tschuetta	f
eng	owl	Noun	tr	bird	ron	bufniță	f
eng	owl	Noun	tr	bird	rue	совы	f	sc=Cyrl
eng	owl	Noun	tr	bird	rus	сова́	f
eng	owl	Noun	tr	bird	rus	сыч	m
eng	owl	Noun	tr	bird	rus	фи́лин	m
eng	owl	Noun	tr	bird	sah	мэкчиргэ	sc=Cyrl
eng	owl	Noun	tr	bird	san	उलूक	m
eng	owl	Noun	tr	bird	san	घूक	m
eng	owl	Noun	tr	bird	san	पेचक	m
eng	owl	Noun	tr	bird	sat	ᱠᱚᱠᱚᱨ
eng	owl	Noun	tr	bird	sat	ᱫᱩᱱᱫᱩ
eng	owl	Noun	tr	bird	scn	cucca	f
eng	owl	Noun	tr	bird	scn	cuccu	m
eng	owl	Noun	tr	bird	sco	yuggle
eng	owl	Noun	tr	bird	slk	sova	f
eng	owl	Noun	tr	bird	slk	výr	m
eng	owl	Noun	tr	bird	slv	sova	f
eng	owl	Noun	tr	bird	sme	idjaloddi
eng	owl	Noun	tr	bird	sme	skuolfi
eng	owl	Noun	tr	bird	smn	oppuu
eng	owl	Noun	tr	bird	smn	skyelfi
eng	owl	Noun	tr	bird	smo	lulu
eng	owl	Noun	tr	bird	sms	hõˊppi
eng	owl	Noun	tr	bird	sna	zizi
eng	owl	Noun	tr	bird	sne	buwo
eng	owl	Noun	tr	bird	spa	anteojo	m
eng	owl	Noun	tr	bird	spa	autillo	m
eng	owl	Noun	tr	bird	spa	búho	m
eng	owl	Noun	tr	bird	spa	caburé	m
eng	owl	Noun	tr	bird	spa	cárabo	m
eng	owl	Noun	tr	bird	spa	chuncho	m
eng	owl	Noun	tr	bird	spa	cuco	m
eng	owl	Noun	tr	bird	spa	lechuza	f
eng	owl	Noun	tr	bird	spa	mochuelo	m
eng	owl	Noun	tr	bird	spa	sijú cotunto	m
eng	owl	Noun	tr	bird	spa	tecolote	m
eng	owl	Noun	tr	bird	spa	tucúquere	m
eng	owl	Noun	tr	bird	sqi	buf	m
eng	owl	Noun	tr	bird	sqi	hut	m
eng	owl	Noun	tr	bird	sqi	kukuvajkë	f
eng	owl	Noun	tr	bird	srd	cuccumeu
eng	owl	Noun	tr	bird	srd	cuccumiau
