	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Afade	Proper noun	tr	the language	deu	Afade	n
eng	Afade	Proper noun	tr	the language	fra	afade
eng	Afghan Hound	Noun	tr	Afghan Hound	dan	afghansk mynde	c
eng	Afghan Hound	Noun	tr	Afghan Hound	deu	Afghanischer Windhund	m
eng	Afghan Hound	Noun	tr	Afghan Hound	ell	αφγανικός λαγωνικός	m
eng	Afghan Hound	Noun	tr	Afghan Hound	fas	افغان هاند
eng	Afghan Hound	Noun	tr	Afghan Hound	fin	afgaani
eng	Afghan Hound	Noun	tr	Afghan Hound	fin	afgaaninvinttikoira
eng	Afghan Hound	Noun	tr	Afghan Hound	fra	lévrier afghan	m
eng	Afghan Hound	Noun	tr	Afghan Hound	gle	cú Afganastánach	m
eng	Afghan Hound	Noun	tr	Afghan Hound	heb	כלב אפגני	m
eng	Afghan Hound	Noun	tr	Afghan Hound	hin	अफगान हाउन्ड
eng	Afghan Hound	Noun	tr	Afghan Hound	hun	afgán agár
eng	Afghan Hound	Noun	tr	Afghan Hound	ita	levriero afgano	m
eng	Afghan Hound	Noun	tr	Afghan Hound	jpn	アフガン・ハウンド	tr=Afugan haundo
eng	Afghan Hound	Noun	tr	Afghan Hound	kaz	ауған тазысы
eng	Afghan Hound	Noun	tr	Afghan Hound	kor	^아프간 하운드
eng	Afghan Hound	Noun	tr	Afghan Hound	lit	afganų kurtas	m
eng	Afghan Hound	Noun	tr	Afghan Hound	ltz	afghanesche Wandhond	m
eng	Afghan Hound	Noun	tr	Afghan Hound	msa	anjing pemburu Afghan
eng	Afghan Hound	Noun	tr	Afghan Hound	nld	afghaan	m
eng	Afghan Hound	Noun	tr	Afghan Hound	nld	Afghaanse windhond	m
eng	Afghan Hound	Noun	tr	Afghan Hound	nob	afghansk mynde	m
eng	Afghan Hound	Noun	tr	Afghan Hound	pol	chart afgański	m
eng	Afghan Hound	Noun	tr	Afghan Hound	por	galgo afegão	m
eng	Afghan Hound	Noun	tr	Afghan Hound	ron	ogar afgan	m
eng	Afghan Hound	Noun	tr	Afghan Hound	rus	афга́н	m
eng	Afghan Hound	Noun	tr	Afghan Hound	rus	афга́нская борза́я	f
eng	Afghan Hound	Noun	tr	Afghan Hound	slk	afganský chrt	m
eng	Afghan Hound	Noun	tr	Afghan Hound	slv	afganski hrt	m
eng	Afghan Hound	Noun	tr	Afghan Hound	spa	lebrel afgano	m
eng	Afghan Hound	Noun	tr	Afghan Hound	tur	Afgan tazısı
eng	Afghan Hound	Noun	tr	Afghan Hound	ukr	афганський хорт	m
eng	Afghanistani	Adjective	tr	Afghanistani	fin	afganistanilainen
eng	Afghanistani	Adjective	tr	Afghanistani	lat	Arianus	m
eng	Afghanistani	Adjective	tr	Afghanistani	por	afegão	m
eng	Afghanistani	Noun	tr	Afghanistani	fin	afganistanilainen
eng	Afghanistani	Noun	tr	Afghanistani	por	afegão	m
eng	Afghanistan	Proper noun	tr	country	abk	Афганистан
eng	Afghanistan	Proper noun	tr	country	ady	Афганистан
eng	Afghanistan	Proper noun	tr	country	afr	Afghanistan
eng	Afghanistan	Proper noun	tr	country	amh	አፍጋኒስታን
eng	Afghanistan	Proper noun	tr	country	ara	أَفْغَانِسْتَان	f
eng	Afghanistan	Proper noun	tr	country	arg	Afganistán
eng	Afghanistan	Proper noun	tr	country	asm	আফগানিস্তান
eng	Afghanistan	Proper noun	tr	country	ast	Afganistán
eng	Afghanistan	Proper noun	tr	country	aze	Əfqanıstan
eng	Afghanistan	Proper noun	tr	country	aze	Әфганыстан
eng	Afghanistan	Proper noun	tr	country	bak	Афғанстан
eng	Afghanistan	Proper noun	tr	country	bel	Аўганіста́н	m
eng	Afghanistan	Proper noun	tr	country	bel	Афганіста́н	m
eng	Afghanistan	Proper noun	tr	country	ben	আফগানিস্তান
eng	Afghanistan	Proper noun	tr	country	bh	अफ़ग़ानिस्तान
eng	Afghanistan	Proper noun	tr	country	bod	ཨ་ཧྥུའུ་རྒན་སི་ཐན
eng	Afghanistan	Proper noun	tr	country	bpy	আফগানিস্তান
eng	Afghanistan	Proper noun	tr	country	bre	Afghanistan
eng	Afghanistan	Proper noun	tr	country	brh	Aoģánistán
eng	Afghanistan	Proper noun	tr	country	bsh	Āfǧoniston
eng	Afghanistan	Proper noun	tr	country	bua	Афганистан
eng	Afghanistan	Proper noun	tr	country	bul	Афганиста́н	m
eng	Afghanistan	Proper noun	tr	country	cat	Afganistan	m	alt=l’Afganistan
eng	Afghanistan	Proper noun	tr	country	cdo	阿富汗	tr=Ŏ̤-hô-gâng
eng	Afghanistan	Proper noun	tr	country	ceb	Afghanistan
eng	Afghanistan	Proper noun	tr	country	ceb	Apganistan
eng	Afghanistan	Proper noun	tr	country	ces	Afgánistán	m
eng	Afghanistan	Proper noun	tr	country	ces	Afghánistán	m
eng	Afghanistan	Proper noun	tr	country	che	Овгӏан
eng	Afghanistan	Proper noun	tr	country	chr	ᎠᏫᎨᏂᏍᏖᏂ
eng	Afghanistan	Proper noun	tr	country	chv	Афганистан
eng	Afghanistan	Proper noun	tr	country	ckb	ئەفغانستان
eng	Afghanistan	Proper noun	tr	country	cmn	愛烏罕
eng	Afghanistan	Proper noun	tr	country	cmn	爱乌罕	tr=Àiwūhǎn
eng	Afghanistan	Proper noun	tr	country	cmn	阿富汗	tr=Āfùhàn
eng	Afghanistan	Proper noun	tr	country	cor	Afghanistan
eng	Afghanistan	Proper noun	tr	country	crh	Afğanistan
eng	Afghanistan	Proper noun	tr	country	csb	Afganistón
eng	Afghanistan	Proper noun	tr	country	cym	Affganistan
eng	Afghanistan	Proper noun	tr	country	dan	Afghanistan
eng	Afghanistan	Proper noun	tr	country	deu	Afghanistan	n
eng	Afghanistan	Proper noun	tr	country	div	އަފްޣާނިސްތާން
eng	Afghanistan	Proper noun	tr	country	dty	अफगानिस्तान
eng	Afghanistan	Proper noun	tr	country	dzo	ཨཕ་ག་ནིསི་ཏཱན་
eng	Afghanistan	Proper noun	tr	country	ell	Αφγανιστάν	n
eng	Afghanistan	Proper noun	tr	country	epo	Afganio
eng	Afghanistan	Proper noun	tr	country	epo	Afganistano
eng	Afghanistan	Proper noun	tr	country	epo	Afganujo
eng	Afghanistan	Proper noun	tr	country	est	Afganistan
eng	Afghanistan	Proper noun	tr	country	eus	Afganistan
eng	Afghanistan	Proper noun	tr	country	ext	Afganistán
eng	Afghanistan	Proper noun	tr	country	fao	Afganistan	n
eng	Afghanistan	Proper noun	tr	country	fas	افغانستان	tr=afğânestân
eng	Afghanistan	Proper noun	tr	country	fin	Afganistan
eng	Afghanistan	Proper noun	tr	country	fra	Afghanistan	m
eng	Afghanistan	Proper noun	tr	country	frp	Afganistan
eng	Afghanistan	Proper noun	tr	country	fry	Afganistan
eng	Afghanistan	Proper noun	tr	country	fur	Afghanistan
eng	Afghanistan	Proper noun	tr	country	gag	Afganistan
eng	Afghanistan	Proper noun	tr	country	gla	Afganastan
eng	Afghanistan	Proper noun	tr	country	gle	Afganastáin	f	alt=An Afganastáin
eng	Afghanistan	Proper noun	tr	country	glg	Afganistán	m
eng	Afghanistan	Proper noun	tr	country	glv	Yn Afghanistaan
eng	Afghanistan	Proper noun	tr	country	grn	Ahyganitã
eng	Afghanistan	Proper noun	tr	country	gsw	Afganischtan
eng	Afghanistan	Proper noun	tr	country	guj	અફગાનિસ્તાન
eng	Afghanistan	Proper noun	tr	country	hak	阿富汗	tr=Â-fu-hon
eng	Afghanistan	Proper noun	tr	country	hat	Afganistan
eng	Afghanistan	Proper noun	tr	country	hau	Afaganistan
eng	Afghanistan	Proper noun	tr	country	hau	Afganistan
eng	Afghanistan	Proper noun	tr	country	haw	Apekanikana
eng	Afghanistan	Proper noun	tr	country	hbs	Afganìstān	m
eng	Afghanistan	Proper noun	tr	country	hbs	Avganìstān	m
eng	Afghanistan	Proper noun	tr	country	hbs	Авганѝста̄н	m
eng	Afghanistan	Proper noun	tr	country	hbs	Афганѝста̄н	m
eng	Afghanistan	Proper noun	tr	country	heb	אַפְגָּנִיסְטָן	f	tr=afganistan
eng	Afghanistan	Proper noun	tr	country	hin	अफगानिस्तान	m
eng	Afghanistan	Proper noun	tr	country	hin	अफ़्ग़ानिस्तान	m
eng	Afghanistan	Proper noun	tr	country	hun	Afganisztán
eng	Afghanistan	Proper noun	tr	country	hye	Աֆղանստան
eng	Afghanistan	Proper noun	tr	country	ido	Afganistan
eng	Afghanistan	Proper noun	tr	country	ilo	Apganistan
eng	Afghanistan	Proper noun	tr	country	ina	Afghanistan
eng	Afghanistan	Proper noun	tr	country	ind	Afghanistan
eng	Afghanistan	Proper noun	tr	country	isl	Afganistan
eng	Afghanistan	Proper noun	tr	country	ita	Afganistan	m
eng	Afghanistan	Proper noun	tr	country	ita	Afghanistan	m
eng	Afghanistan	Proper noun	tr	country	jav	Afganistan
eng	Afghanistan	Proper noun	tr	country	jpn	アフガニスタン	tr=Afuganisutan
eng	Afghanistan	Proper noun	tr	country	kab	Afɣanistan
eng	Afghanistan	Proper noun	tr	country	kam	Afganistan
eng	Afghanistan	Proper noun	tr	country	kan	ಅಫ್ಘಾನಿಸ್ತಾನ
eng	Afghanistan	Proper noun	tr	country	kat	ავღანეთი
eng	Afghanistan	Proper noun	tr	country	kaz	Ауғанстан
eng	Afghanistan	Proper noun	tr	country	kaz	اۋعانستان
eng	Afghanistan	Proper noun	tr	country	kbd	Афганистэн
eng	Afghanistan	Proper noun	tr	country	kbp	Afganistani
eng	Afghanistan	Proper noun	tr	country	khm	អាហ្វហ្គានីស្ថាន
eng	Afghanistan	Proper noun	tr	country	kik	Afganistan
eng	Afghanistan	Proper noun	tr	country	kin	Afuganisitani
eng	Afghanistan	Proper noun	tr	country	kir	Афганистан
eng	Afghanistan	Proper noun	tr	country	kir	Афганстан
eng	Afghanistan	Proper noun	tr	country	kir	Ооганстан
eng	Afghanistan	Proper noun	tr	country	kln	Afganistan
eng	Afghanistan	Proper noun	tr	country	kmr	Efxanistan
eng	Afghanistan	Proper noun	tr	country	koi	Афганистан
eng	Afghanistan	Proper noun	tr	country	kok	अफगाणिस्तान
eng	Afghanistan	Proper noun	tr	country	kor	^아프가니스탄
eng	Afghanistan	Proper noun	tr	country	kpv	Афганистан
eng	Afghanistan	Proper noun	tr	country	krc	Афганистан
eng	Afghanistan	Proper noun	tr	country	lad	Afganistan
eng	Afghanistan	Proper noun	tr	country	lao	ອັບຟາການິດສະຖານ
eng	Afghanistan	Proper noun	tr	country	lao	ອັຟການິດສະຖານ
eng	Afghanistan	Proper noun	tr	country	lat	Afgania	f
eng	Afghanistan	Proper noun	tr	country	lat	Ariana	f
eng	Afghanistan	Proper noun	tr	country	lav	Afganistāna	f
eng	Afghanistan	Proper noun	tr	country	lez	Афганистан
eng	Afghanistan	Proper noun	tr	country	lim	Afganistan
eng	Afghanistan	Proper noun	tr	country	lin	Afganistáni
eng	Afghanistan	Proper noun	tr	country	lit	Afganistanas	m
eng	Afghanistan	Proper noun	tr	country	lrc	أفغانستان
eng	Afghanistan	Proper noun	tr	country	ltz	Afghanistan
eng	Afghanistan	Proper noun	tr	country	luo	Afganistan
eng	Afghanistan	Proper noun	tr	country	luy	Afganistan
eng	Afghanistan	Proper noun	tr	country	mai	अफगानिस्तान
eng	Afghanistan	Proper noun	tr	country	mal	അഫ്ഗാനിസ്ഥാന്
eng	Afghanistan	Proper noun	tr	country	mar	अफगाणिस्तान
eng	Afghanistan	Proper noun	tr	country	mar	अफ़गानिस्तान
eng	Afghanistan	Proper noun	tr	country	mer	Afganistan
eng	Afghanistan	Proper noun	tr	country	min	Afganistan
eng	Afghanistan	Proper noun	tr	country	mkd	Авганиста́н	m
eng	Afghanistan	Proper noun	tr	country	mlg	Afganistana
eng	Afghanistan	Proper noun	tr	country	mlt	Afganistan
eng	Afghanistan	Proper noun	tr	country	mnc	ᠠᡳ᠌ᡠ᠌ᡥᠠᠨ
eng	Afghanistan	Proper noun	tr	country	mon	Афганистан
eng	Afghanistan	Proper noun	tr	country	mri	Āwhekenetāna
eng	Afghanistan	Proper noun	tr	country	msa	Afghanistan
eng	Afghanistan	Proper noun	tr	country	mya	အာဖဂန်နစ်စတန်
eng	Afghanistan	Proper noun	tr	country	myv	Афганистан
eng	Afghanistan	Proper noun	tr	country	mzn	افخانستون
eng	Afghanistan	Proper noun	tr	country	nah	Afganistān
eng	Afghanistan	Proper noun	tr	country	nan	阿富汗	tr=A-hù-hān
eng	Afghanistan	Proper noun	tr	country	nau	Afganistan
eng	Afghanistan	Proper noun	tr	country	nds	Afghanistan
eng	Afghanistan	Proper noun	tr	country	nep	अफगानिस्तान
eng	Afghanistan	Proper noun	tr	country	nld	Afghanistan	n
eng	Afghanistan	Proper noun	tr	country	nor	Afghanistan
eng	Afghanistan	Proper noun	tr	country	nor	Afghanistan
eng	Afghanistan	Proper noun	tr	country	nrf	Afghanistan	m
eng	Afghanistan	Proper noun	tr	country	oci	Afganistan
eng	Afghanistan	Proper noun	tr	country	olo	Afganistuanu
eng	Afghanistan	Proper noun	tr	country	ori	ଆଫଗାନିସ୍ତାନ
eng	Afghanistan	Proper noun	tr	country	oss	Афгъанистан
eng	Afghanistan	Proper noun	tr	country	pam	Afghanistan
eng	Afghanistan	Proper noun	tr	country	pan	ਅਫਗਾਨੀਸਤਾਨ
eng	Afghanistan	Proper noun	tr	country	pdc	Afganischtaan
eng	Afghanistan	Proper noun	tr	country	pms	Afgànistan
eng	Afghanistan	Proper noun	tr	country	pnb	افغانستان
eng	Afghanistan	Proper noun	tr	country	pol	Afganistan	m-in
eng	Afghanistan	Proper noun	tr	country	por	Afeganistão	m
eng	Afghanistan	Proper noun	tr	country	pus	افغانستان	m	tr=afǧānestãn
eng	Afghanistan	Proper noun	tr	country	que	Afgansuyu
eng	Afghanistan	Proper noun	tr	country	ron	Afganistan	n
eng	Afghanistan	Proper noun	tr	country	rue	Афґаніста́н	m
eng	Afghanistan	Proper noun	tr	country	rus	Афганиста́н	m
eng	Afghanistan	Proper noun	tr	country	san	अफगानस्थान
eng	Afghanistan	Proper noun	tr	country	sat	ᱟᱯᱷᱜᱟᱱᱤᱥᱛᱟᱱ
eng	Afghanistan	Proper noun	tr	country	scn	Afganistàn
eng	Afghanistan	Proper noun	tr	country	sgs	Afganėstans
eng	Afghanistan	Proper noun	tr	country	sin	ඇෆ්‍ගනිස්‍තානය
eng	Afghanistan	Proper noun	tr	country	slk	Afganistan	m
eng	Afghanistan	Proper noun	tr	country	slv	Afgánistan	m
eng	Afghanistan	Proper noun	tr	country	sme	Afghanistan
eng	Afghanistan	Proper noun	tr	country	som	Afgaanistan
eng	Afghanistan	Proper noun	tr	country	spa	Afganistán	m
eng	Afghanistan	Proper noun	tr	country	sqi	Afganistani	m
eng	Afghanistan	Proper noun	tr	country	sqi	Afganistan	m
eng	Afghanistan	Proper noun	tr	country	sqi	Afghanistan	m
eng	Afghanistan	Proper noun	tr	country	sun	Apganistan
eng	Afghanistan	Proper noun	tr	country	swa	Afghanistan
eng	Afghanistan	Proper noun	tr	country	swa	Afuganistani
eng	Afghanistan	Proper noun	tr	country	swe	Afghanistan
eng	Afghanistan	Proper noun	tr	country	szl	Afganistan
eng	Afghanistan	Proper noun	tr	country	tam	ஆப்கனிஸ்தான்
eng	Afghanistan	Proper noun	tr	country	tam	ஆப்கானிஸ்தான்
eng	Afghanistan	Proper noun	tr	country	tat	Әфганстан
eng	Afghanistan	Proper noun	tr	country	tel	ఆఫ్ఘనిస్తాన్
eng	Afghanistan	Proper noun	tr	country	tet	Afeganistaun
eng	Afghanistan	Proper noun	tr	country	tgk	Афғонистон
eng	Afghanistan	Proper noun	tr	country	tgl	Apganistan
eng	Afghanistan	Proper noun	tr	country	tha	อัฟกานิสถาน
eng	Afghanistan	Proper noun	tr	country	ton	ʻAfikānisitani
eng	Afghanistan	Proper noun	tr	country	tuk	Owganystan
eng	Afghanistan	Proper noun	tr	country	tuk	Овганыстан
eng	Afghanistan	Proper noun	tr	country	tur	Afganistan
eng	Afghanistan	Proper noun	tr	country	udm	Афганистан
eng	Afghanistan	Proper noun	tr	country	uig	Авғанстан
eng	Afghanistan	Proper noun	tr	country	uig	ئافغانىستان
eng	Afghanistan	Proper noun	tr	country	ukr	Афганіста́н	m
eng	Afghanistan	Proper noun	tr	country	ukr	Афґаніста́н	m
eng	Afghanistan	Proper noun	tr	country	urd	افغانستان	m	tr=afġānistān
eng	Afghanistan	Proper noun	tr	country	uzb	Afgʻoniston
eng	Afghanistan	Proper noun	tr	country	uzb	Афғонистон
eng	Afghanistan	Proper noun	tr	country	vec	Afganistan
eng	Afghanistan	Proper noun	tr	country	vep	Afganistan
eng	Afghanistan	Proper noun	tr	country	vie	Áp-ga-ni-xtan
eng	Afghanistan	Proper noun	tr	country	vie	A Phú Hãn
eng	Afghanistan	Proper noun	tr	country	vol	Lafganistän
eng	Afghanistan	Proper noun	tr	country	vro	Afganistan
eng	Afghanistan	Proper noun	tr	country	war	Afganistan
eng	Afghanistan	Proper noun	tr	country	wol	Afganistaan
eng	Afghanistan	Proper noun	tr	country	wuu	阿富汗	tr=a fu hhoe
eng	Afghanistan	Proper noun	tr	country	xal	Апганмудин
eng	Afghanistan	Proper noun	tr	country	xmf	ავღანეთი
eng	Afghanistan	Proper noun	tr	country	yid	אַפֿגאַניסטאַן
eng	Afghanistan	Proper noun	tr	country	yor	Afghanístàn
eng	Afghanistan	Proper noun	tr	country	yue	阿富汗	tr=aa3 fu3 hon6, o1 fu3 hon6
eng	Afghanistan	Proper noun	tr	country	zha	Ahfuhan
eng	Afghanistan	Proper noun	tr	country	zul	I-Afganistani
eng	Afghanistan	Proper noun	tr	country	zza	Efğanıstan
eng	Afghanize	Verb	tr	to cause to have an Afghani character	epo	afganigi
eng	Afghanize	Verb	tr	to cause to have an Afghani character	por	afeganizar
eng	Afghan	Noun	tr	Afghan hound	dan	afghaner	c
eng	Afghan	Noun	tr	Afghan hound	deu	Afghane	m
eng	Afghan	Noun	tr	Afghan hound	fin	afgaani
eng	Afghan	Noun	tr	Afghan hound	fin	afgaaninvinttikoira
eng	Afghan	Noun	tr	Afghan hound	msa	anjing pemburu Afghan
eng	Afghan	Noun	tr	Afghan hound	nld	afghaan	m
eng	Afghan	Noun	tr	Afghan hound	nld	Afghaanse windhond	m
eng	Afghan	Noun	tr	Afghan hound	nno	afghanar	m
eng	Afghan	Noun	tr	Afghan hound	nor	afghaner	m
eng	Afghan	Noun	tr	Afghan hound	ron	afgan	m
