	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta del Virgen del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta de Nuestra Señora del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		xtm	Viko Nana Rosariu
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	deu	Beschneidung des Herrn	f
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	nld	Besnijdenis van de Heer	f
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	deu	Namen-Jesu-Fest	n
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	nld	Zoete Naam Jezus	m
eng	Feb	Proper noun	tr	abbreviation of February	cat	febr.
eng	Feb	Proper noun	tr	abbreviation of February	fra	févr.
eng	Feb	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb.	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb	Proper noun	tr	abbreviation of February	por	fev	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	rus	февра́ль-водоле́й	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	febrero, cebadero
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	lluvioso febrero, año cebadero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	arc	ܫܒܛ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	arg	febrero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	arn	Fewreru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ary	شهر جوج	tr=šhar jūj
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ary	فبراير	tr=fibrāyir
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ast	febreru	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	atj	Akokatcic pisimw
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	aym	anata phaxsi
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	aze	fevral
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bak	февраль	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bel	лю́ты	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ben	ফেব্রুয়ারি
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bis	februari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bre	c'hwevrer
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bre	miz c'hwevrer
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	bul	февруа́ри	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cat	febrer	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ceb	pebrero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ces	únor	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	che	Чиллан-бутт	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	chr	ᎧᎦᎵ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	chv	нарӑс	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cic	Hashi' Atoklo'
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ckt	чьачанльоргын	tr=čʹačanlʹorgyn
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ckt	ынпыԓювԓен	tr=ynpyḷjuvḷen
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cmn	二月	tr=èryuè
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cop	ⲫⲉⲃⲣⲟⲩⲁⲣⲓⲟⲥ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cor	mis Whevrer
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cos	ferraghju
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	csb	gromicznik
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	cym	Chwefror
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dak	Wicatawi
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dan	blidemåned	c
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dan	februar	c
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	deu	Feber
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	deu	Februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	deu	Hornung	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	div	ފެބްރުއަރީ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dlm	februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dng	эрйүә
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dsb	swěckowny
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dtp	Mansak
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	dzo	སྤྱི་ཟླ་གཉིས་པ།
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ell	Φεβρουάριος	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ems	Nanicqaaq Iraluq
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	epo	februaro
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	epo	Februaro
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	est	veebruar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	esu	Kep'nerciq
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	eus	otsail
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ewe	Dzodze
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ewe	Februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ext	hebreru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fao	februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fas	فبریر	tr=febrir
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fas	فوریه	tr=fevriye
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fij	Veverueri
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fin	helmikuu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fra	février	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	frp	fevriér
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	frr	biikenmoune	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	frr	febrewoore	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	frr	februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fry	febrewaris	c
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fry	sellemoanne	c
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	fur	Fevrâr
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gil	Beberuare
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gla	Gearran
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gle	Feabhra	f
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	glg	febreiro	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	glv	Toshiaght Arree
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-cfr	Febrowaa
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Fasenachtsmonat
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Feber
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Gehornigel
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Hornigel
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Hornung
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Spurkel
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gmw-rfr	Spürkel
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	grn	jasykõi
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gsw	februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gsw	Horner
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gsw	Horning
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	gsw	Hornung
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	guj	ફેબ્રુઆરી
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hak	二月	tr=ngi-ngie̍t	sc=Hani
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hat	fevriye
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hau	Fabrairu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	haw	Pepeluali
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hbs	februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hbs	veljača	f
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hbs	вељача	f	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hbs	фебруар	m	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	heb	פֶבְּרוּאָר	m	tr=fébruar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hif	february
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hin	फ़रवरी	f	tr=farvarī
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hrx	Februa	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hsb	februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hsb	mały róžk	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hun	február
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	hye	փետրվար
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ibo	february
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ido	februaro
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	iku	ᕕᐳᐊᕆ	sc=Cans
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ilo	febrero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ina	februario
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ind	februari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	isl	febrúar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	isl	febrúarmánuður	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ita	febbraio	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	jav	februari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	jpn	二月	tr=にがつ, nigatsu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	jpn	如月	tr=きさらぎ, kisaragi
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kab	furar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kal	aarlaat
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kal	februaari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kan	ಫೆಬ್ರುವರಿ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kat	თებერვალი
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kaz	ақпан	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	khm	កុម្ភៈ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kir	февраль	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kmr	reşemî
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kmr	sibat	f
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kor	이월
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kor	二月
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	kpv	урасьӧм тӧлысь	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lad	fevrero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lao	ກຸມພາ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lat	februārius
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lav	februāris	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lez	эхем	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lij	frevâ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lim	Fibberwarie
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lin	sánzá ya míbalé
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lit	vasaris	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	liv	februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	liv	kīņḑõļkū
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lkt	Čhaŋnápȟopa wí
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lkt	Thiyóȟeyuŋka wí
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lld	fauré
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lld	firé
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	lmo	febrar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ltz	Februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ltz	Febuar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ltz	Spierkel	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mal	ഫെബ്രുവരി
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mar	फेब्रुवारी
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mdf	февральков
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mhn	hourneng	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mkd	февруа́ри	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mlg	febroary
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mlt	Frar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mnc	ᠵᡠᠸᡝ ᠪᡳᠶ᠋ᠠ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	moe	epishiminishkueu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mon	хоёрдугаар сар
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mri	Hui-tanguru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mri	Pēpuere
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	msa	Februari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	msa	فيبرواري
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mwl	Febreiro	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mya	နှစ်လ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	mya	ဖေဖော်ဝါရီ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	myv	даволков
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nah	tlaōnti
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nan	二月	tr=jī-go̍eh, jī-ge̍h, jī-gōe, lī-go̍eh, lī-ge̍h, lī-gōe	sc=Hani
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nap	frevaro
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nav	Atsá Biyáázh
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Heering
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Höring
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Horning	f
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Hornung	f
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Iesmoand	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Kleenhorn	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-de	Lammermoand	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nds-nl	febrewaori
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nld	februari	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nno	februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nob	februar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nrf	févri
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	nya	Febuluwale
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	oci	febrièr	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	oji	namebini-giizis
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ori	ଫେବୃଆରୀ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	orm	Guraandhala
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	oss	февраль	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pam	pebreru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pan	ਫ਼ਰਵਰੀ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pan	ਫ਼ਰਵਰੀ	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pdc	Febrewaar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pdc	Hanning
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pdc	Harning
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pdt	Feebawoa	n
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pms	fërvé
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pol	luty	m-in
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	por	fevereiro	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pus	فبروري	f	tr=februwarí
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	pus	فروري	f	tr=farwarí
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	que	hatun puquy killa
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	roh	favrer	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	roh	fevrer	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ron	făurar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ron	februarie	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	flivar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	Flivar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	flivrar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	Flivrar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	Flivraru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	shcurtu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rup	Shcurtu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	rus	февра́ль	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sah	олунньу
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	scn	frivaru	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sco	Februar
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sek	Dahyusè’ nùkehde wìlę
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sgs	vasaris
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sin	පෙබරවාරි
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	slk	február	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	slv	fébruar	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sma	gierhken garres
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sma	goevte
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sme	guovvamánnu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	smj	guovvamánno
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	smn	kuovâmáánu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	smo	fepuari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sms	täʹlvvmään
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	som	febraayo
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sot	Hlakola
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	spa	febrero	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sqi	fror
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sqi	shkurt	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	srd	fiàrzu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	srd	freàrgiu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ssw	iNdlóvana
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	sun	pébruari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	swa	februari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	swe	februari	c
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	swg	Feber
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	szl	luty
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tah	fepuare
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tam	பெப்ரவரி
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tat	февраль
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tel	ఫిబ్రవరి
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tet	fevereiru
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tgk	феврал	sc=Cyrl
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tgl	Pebrero
